Provinsi,Nilai,Tahun,Kategori
Sumatera Barat,6797.0,2020-2021,Total Deforestasi
Riau,1518.0,2020-2021,Total Deforestasi
Jambi,20047.0,2020-2021,Total Deforestasi
Sumatera Selatan,2192.0,2020-2021,Total Deforestasi
Bengkulu,2033.0,2020-2021,Total Deforestasi
Lampung,275.0,2020-2021,Total Deforestasi
Kepulauan Bangka Belitung,1987.0,2020-2021,Total Deforestasi
Kepulauan Riau,482.0,2020-2021,Total Deforestasi
DKI Jakarta,0.0,2020-2021,Total Deforestasi
Jawa Barat,382.0,2020-2021,Total Deforestasi
Jawa Tengah,207.0,2020-2021,Total Deforestasi
DI Yogyakarta,0.0,2020-2021,Total Deforestasi
Jawa Timur,143.0,2020-2021,Total Deforestasi
Banten,278.0,2020-2021,Total Deforestasi
Bali,46.0,2020-2021,Total Deforestasi
Nusa Tenggara Barat,3123.0,2020-2021,Total Deforestasi
Nusa Tenggara Timur,1401.0,2020-2021,Total Deforestasi
Kalimantan Barat,10095.0,2020-2021,Total Deforestasi
Kalimantan Tengah,21536.0,2020-2021,Total Deforestasi
Kalimantan Selatan,2029.0,2020-2021,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,20924.0,2020-2021,Total Deforestasi
Sulawesi Utara,108.0,2020-2021,Total Deforestasi
Sulawesi Tengah,2391.0,2020-2021,Total Deforestasi
Sulawesi Selatan,144.0,2020-2021,Total Deforestasi
Sulawesi Tenggara,4188.0,2020-2021,Total Deforestasi
Gorontalo,512.0,2020-2021,Total Deforestasi
Sulawesi Barat,3691.0,2020-2021,Total Deforestasi
Maluku,1294.0,2020-2021,Total Deforestasi
Maluku Utara,964.0,2020-2021,Total Deforestasi
Papua Barat,2030.0,2020-2021,Total Deforestasi
Papua,3551.0,2020-2021,Total Deforestasi
Aceh,2834.5,2021-2022,Kawasan Hutan
Sumatera Utara,3259.5,2021-2022,Kawasan Hutan
Sumatera Barat,4861.4,2021-2022,Kawasan Hutan
Riau,7897.7,2021-2022,Kawasan Hutan
Jambi,5094.4,2021-2022,Kawasan Hutan
Sumatera Selatan,136.6,2021-2022,Kawasan Hutan
Bengkulu,4432.3,2021-2022,Kawasan Hutan
Lampung,557.6,2021-2022,Kawasan Hutan
Kepulauan Bangka Belitung,1683.8,2021-2022,Kawasan Hutan
Kepulauan Riau,91.8,2021-2022,Kawasan Hutan
DKI Jakarta,0.0,2021-2022,Kawasan Hutan
Jawa Barat,102.3,2021-2022,Kawasan Hutan
Jawa Tengah,209.9,2021-2022,Kawasan Hutan
DI Yogyakarta,12.9,2021-2022,Kawasan Hutan
Jawa Timur,19.4,2021-2022,Kawasan Hutan
Banten,3.5,2021-2022,Kawasan Hutan
Bali,51.2,2021-2022,Kawasan Hutan
Nusa Tenggara Barat,4830.4,2021-2022,Kawasan Hutan
Nusa Tenggara Timur,1656.0,2021-2022,Kawasan Hutan
Kalimantan Barat,5128.9,2021-2022,Kawasan Hutan
Kalimantan Tengah,9838.2,2021-2022,Kawasan Hutan
Kalimantan Selatan,636.4,2021-2022,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,5574.1,2021-2022,Kawasan Hutan
Sulawesi Utara,295.2,2021-2022,Kawasan Hutan
Sulawesi Tengah,3490.4,2021-2022,Kawasan Hutan
Sulawesi Selatan,840.9,2021-2022,Kawasan Hutan
Sulawesi Tenggara,2700.7,2021-2022,Kawasan Hutan
Gorontalo,254.3,2021-2022,Kawasan Hutan
Sulawesi Barat,329.8,2021-2022,Kawasan Hutan
Maluku,1412.7,2021-2022,Kawasan Hutan
Maluku Utara,2318.8,2021-2022,Kawasan Hutan
Papua Barat,74.8,2021-2022,Kawasan Hutan
Papua,2922.5,2021-2022,Kawasan Hutan
Aceh,2532.6,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Utara,2339.4,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Barat,956.1,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Riau,1357.1,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jambi,372.3,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Selatan,540.5,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bengkulu,330.0,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Lampung,66.1,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Bangka Belitung,531.3,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Riau,298.1,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DKI Jakarta,0.0,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Barat,127.9,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Tengah,585.1,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DI Yogyakarta,0.0,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Timur,50.4,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Banten,27.4,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bali,2.0,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Barat,1580.8,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Timur,2288.8,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Barat,2716.8,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Tengah,1726.2,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Selatan,501.5,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,8184.7,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Utara,89.4,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tengah,2270.1,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Selatan,239.3,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tenggara,916.6,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Gorontalo,83.2,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Barat,75.9,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku,50.5,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku Utara,346.9,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua Barat,334.0,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua,1609.4,2021-2022,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Aceh,5367.1,2021-2022,Total Deforestasi
Sumatera Utara,5598.9,2021-2022,Total Deforestasi
Sumatera Barat,5817.5,2021-2022,Total Deforestasi
Riau,9254.8,2021-2022,Total Deforestasi
Jambi,5466.7,2021-2022,Total Deforestasi
Sumatera Selatan,403.9,2021-2022,Total Deforestasi
Bengkulu,4762.3,2021-2022,Total Deforestasi
Lampung,623.7,2021-2022,Total Deforestasi
Kepulauan Bangka Belitung,2215.1,2021-2022,Total Deforestasi
Kepulauan Riau,389.9,2021-2022,Total Deforestasi
DKI Jakarta,0.0,2021-2022,Total Deforestasi
Jawa Barat,230.2,2021-2022,Total Deforestasi
Jawa Tengah,375.2,2021-2022,Total Deforestasi
DI Yogyakarta,12.9,2021-2022,Total Deforestasi
Jawa Timur,69.8,2021-2022,Total Deforestasi
Banten,23.9,2021-2022,Total Deforestasi
Bali,53.2,2021-2022,Total Deforestasi
Nusa Tenggara Barat,6411.2,2021-2022,Total Deforestasi
Nusa Tenggara Timur,3944.8,2021-2022,Total Deforestasi
Kalimantan Barat,7845.7,2021-2022,Total Deforestasi
Kalimantan Tengah,11564.4,2021-2022,Total Deforestasi
Kalimantan Selatan,134.9,2021-2022,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,13758.8,2021-2022,Total Deforestasi
Sulawesi Utara,384.6,2021-2022,Total Deforestasi
Sulawesi Tengah,5760.5,2021-2022,Total Deforestasi
Sulawesi Selatan,1080.2,2021-2022,Total Deforestasi
Sulawesi Tenggara,3617.3,2021-2022,Total Deforestasi
Gorontalo,337.5,2021-2022,Total Deforestasi
Sulawesi Barat,405.7,2021-2022,Total Deforestasi
Maluku,1463.2,2021-2022,Total Deforestasi
Maluku Utara,2665.7,2021-2022,Total Deforestasi
Papua Barat,259.2,2021-2022,Total Deforestasi
Papua,4531.9,2021-2022,Total Deforestasi
