Provinsi,Nilai,Tahun,Kategori
Gorontalo,13146.6,2014-2015,Kawasan Hutan
Sulawesi Barat,1772.0,2014-2015,Kawasan Hutan
Maluku,2870.2,2014-2015,Kawasan Hutan
Maluku Utara,10321.6,2014-2015,Kawasan Hutan
Papua Barat,2696.0,2014-2015,Kawasan Hutan
Papua,34159.7,2014-2015,Kawasan Hutan
Aceh,3303.5,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Utara,5215.4,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Barat,1685.1,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Riau,11216.1,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jambi,1470.7,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Selatan,19744.2,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bengkulu,1993.5,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Lampung,3790.3,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Bangka Belitung,5697.7,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Riau,130.4,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DKI Jakarta,0.0,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Barat,4309.5,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Tengah,3641.9,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DI Yogyakarta,0.0,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Timur,4128.1,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Banten,529.2,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bali,0.0,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Barat,186.8,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Timur,10969.3,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Barat,34723.2,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Tengah,23402.0,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Selatan,12072.3,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,64526.9,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Utara,512.5,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tengah,10829.9,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Selatan,1580.8,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tenggara,1641.2,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Gorontalo,1704.8,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Barat,565.5,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku,2063.2,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku Utara,1629.9,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua Barat,9611.7,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua,33698.2,2014-2015,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Aceh,3231.5,2014-2015,Total Deforestasi
Sumatera Utara,20665.7,2014-2015,Total Deforestasi
Sumatera Barat,10498.9,2014-2015,Total Deforestasi
Riau,135530.7,2014-2015,Total Deforestasi
Jambi,16893.1,2014-2015,Total Deforestasi
Sumatera Selatan,290777.0,2014-2015,Total Deforestasi
Bengkulu,4133.1,2014-2015,Total Deforestasi
Lampung,16700.2,2014-2015,Total Deforestasi
Kepulauan Bangka Belitung,19292.3,2014-2015,Total Deforestasi
Kepulauan Riau,1322.0,2014-2015,Total Deforestasi
DKI Jakarta,0.0,2014-2015,Total Deforestasi
Jawa Barat,6060.0,2014-2015,Total Deforestasi
Jawa Tengah,5231.4,2014-2015,Total Deforestasi
DI Yogyakarta,51.8,2014-2015,Total Deforestasi
Jawa Timur,7749.2,2014-2015,Total Deforestasi
Banten,1811.5,2014-2015,Total Deforestasi
Bali,77.5,2014-2015,Total Deforestasi
Nusa Tenggara Barat,9083.2,2014-2015,Total Deforestasi
Nusa Tenggara Timur,13932.0,2014-2015,Total Deforestasi
Kalimantan Barat,40477.2,2014-2015,Total Deforestasi
Kalimantan Tengah,186642.0,2014-2015,Total Deforestasi
Kalimantan Selatan,46703.8,2014-2015,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,100930.8,2014-2015,Total Deforestasi
Sulawesi Utara,1307.5,2014-2015,Total Deforestasi
Sulawesi Tengah,21376.3,2014-2015,Total Deforestasi
Sulawesi Selatan,10346.6,2014-2015,Total Deforestasi
Sulawesi Tenggara,7116.7,2014-2015,Total Deforestasi
Gorontalo,14851.4,2014-2015,Total Deforestasi
Sulawesi Barat,2337.5,2014-2015,Total Deforestasi
Maluku,4933.5,2014-2015,Total Deforestasi
Maluku Utara,11951.5,2014-2015,Total Deforestasi
Papua Barat,12307.7,2014-2015,Total Deforestasi
Papua,67857.9,2014-2015,Total Deforestasi
Aceh,12523.0,2015-2016,Kawasan Hutan
Sumatera Utara,7907.3,2015-2016,Kawasan Hutan
Sumatera Barat,8199.1,2015-2016,Kawasan Hutan
Riau,18365.4,2015-2016,Kawasan Hutan
Jambi,24263.0,2015-2016,Kawasan Hutan
Sumatera Selatan,3089.3,2015-2016,Kawasan Hutan
Bengkulu,1493.5,2015-2016,Kawasan Hutan
Lampung,1384.1,2015-2016,Kawasan Hutan
Kepulauan Bangka Belitung,344.8,2015-2016,Kawasan Hutan
Kepulauan Riau,2651.4,2015-2016,Kawasan Hutan
DKI Jakarta,0.0,2015-2016,Kawasan Hutan
Jawa Barat,0.0,2015-2016,Kawasan Hutan
Jawa Tengah,0.0,2015-2016,Kawasan Hutan
DI Yogyakarta,0.0,2015-2016,Kawasan Hutan
Jawa Timur,0.0,2015-2016,Kawasan Hutan
Banten,0.0,2015-2016,Kawasan Hutan
Bali,4096.0,2015-2016,Kawasan Hutan
Nusa Tenggara Barat,12561.9,2015-2016,Kawasan Hutan
Nusa Tenggara Timur,0.0,2015-2016,Kawasan Hutan
Kalimantan Barat,60146.3,2015-2016,Kawasan Hutan
Kalimantan Tengah,88816.2,2015-2016,Kawasan Hutan
Kalimantan Selatan,26180.6,2015-2016,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,57104.9,2015-2016,Kawasan Hutan
Sulawesi Utara,1838.6,2015-2016,Kawasan Hutan
Sulawesi Tengah,16045.5,2015-2016,Kawasan Hutan
